x,ẋ,θ,θ*,desired_return,desired_horizon,simulation_number,action
0.1,0.1,0.1,0.1,4.0,4.0,0,1
0.10199999809265137,0.29355716705322266,0.10199999809265137,-0.1595342606306076,3.98,3.98,0,1
0.1078711450099945,0.4870821237564087,0.09880931675434113,-0.4183768928050995,3.96,3.96,0,1
0.11761278659105301,0.680675208568573,0.09044177830219269,-0.6783474087715149,3.94,3.94,0,1
0.1312262862920761,0.8744320273399353,0.07687482982873917,-0.9412412047386169,3.92,3.92,0,1
0.14871492981910706,1.0684385299682617,0.0580500066280365,-1.2088124752044678,3.9,3.9,0,1
0.17008370161056519,1.2627646923065186,0.03387375548481941,-1.4827535152435303,3.88,3.88,0,0
0.19533899426460266,1.0672463178634644,0.004218685906380415,-1.179687261581421,3.86,3.86,0,0
0.21668392419815063,0.8720698356628418,-0.019375059753656387,-0.8856849074363708,3.84,3.84,0,0
0.2341253161430359,0.6772162318229675,-0.03708875924348831,-0.5991552472114563,3.8200000000000003,3.8200000000000003,0,0
0.24766963720321655,0.48263227939605713,-0.049071863293647766,-0.3183816373348236,3.8000000000000003,3.8000000000000003,0,0
0.2573222815990448,0.2882423400878906,-0.05543949455022812,-0.041569072753190994,3.7800000000000002,3.7800000000000002,0,0
0.26308712363243103,0.09395738691091537,-0.05627087876200676,0.23311972618103027,3.7600000000000002,3.7600000000000002,0,0
0.26496627926826477,-0.10031727701425552,-0.051608484238386154,0.5075355768203735,3.74,3.74,0,0
0.26295992732048035,-0.2946755290031433,-0.04145777225494385,0.7835186123847961,3.72,3.72,0,0
0.25706642866134644,-0.48920395970344543,-0.02578739821910858,1.062875509262085,3.7,3.7,0,0
0.24728234112262726,-0.6839752197265625,-0.004529889672994614,1.347354531288147,3.68,3.68,0,1
0.233602836728096,-0.488796591758728,0.022417200729250908,1.0532578229904175,3.66,3.66,0,1
0.22382691502571106,-0.2939789295196533,0.04348235949873924,0.767694890499115,3.64,3.64,0,1
0.2179473340511322,-0.09948169440031052,0.058836255222558975,0.48900458216667175,3.62,3.62,0,1
0.21595770120620728,0.09476298093795776,0.0686163455247879,0.21542960405349731,3.6,3.6,0,1
0.21785295009613037,0.28884029388427734,0.07292494177818298,-0.0548439547419548,3.58,3.58,0,1
0.22362975776195526,0.4828449785709381,0.07182805985212326,-0.3236565589904785,3.56,3.56,0,1
0.23328666388988495,0.676874577999115,0.06535492837429047,-0.5928511619567871,3.54,3.54,0,1
0.24682416021823883,0.8710237145423889,0.053497906774282455,-0.864252507686615,3.52,3.52,0,1
0.26424461603164673,1.065378189086914,0.03621285408735275,-1.1396461725234985,3.5,3.5,0,0
0.2855522036552429,0.869801938533783,0.013419930823147297,-0.8358299732208252,3.48,3.48,0,0
0.3029482364654541,0.6744992733001709,-0.0032966691069304943,-0.5389570593833923,3.46,3.46,0,0
0.316438227891922,0.479423850774765,-0.014075810089707375,-0.2473146617412567,3.44,3.44,0,0
0.32602667808532715,0.2845057249069214,-0.019022103399038315,0.040895409882068634,3.42,3.42,0,0
0.3317168056964874,0.0896616280078888,-0.01820419542491436,0.32751649618148804,3.4,3.4,0,0
0.33351004123687744,-0.10519649088382721,-0.01165386475622654,0.614403486251831,3.38,3.38,0,0
0.3314061164855957,-0.3001536726951599,0.0006342052365653217,0.9033932685852051,3.36,3.36,0,0
0.32540303468704224,-0.49528419971466064,0.01870207116007805,1.1962754726409912,3.34,3.34,0,1
0.31549733877182007,-0.3004092872142792,0.04262758046388626,0.9095122814178467,3.3200000000000003,3.3200000000000003,0,1
0.3094891607761383,-0.10588939487934113,0.06081782653927803,0.6305262446403503,3.3000000000000003,3.3000000000000003,0,1
0.3073713779449463,0.08833356201648712,0.07342834770679474,0.35759982466697693,3.2800000000000002,3.2800000000000002,0,1
0.30913805961608887,0.2823389768600464,0.08058034628629684,0.08894442021846771,3.2600000000000002,3.2600000000000002,0,1
0.31478482484817505,0.4762189984321594,0.08235923200845718,-0.1772669404745102,3.24,3.24,0,1
0.32430920004844666,0.6700716614723206,0.07881389558315277,-0.4428740441799164,3.22,3.22,0,1
0.3377106487751007,0.8639950752258301,0.06995641440153122,-0.7097089290618896,3.2,3.2,0,1
0.35499054193496704,1.0580819845199585,0.055762238800525665,-0.9795767664909363,3.18,3.18,0,1
0.3761521875858307,1.2524138689041138,0.036170702427625656,-1.2542359828948975,3.16,3.16,0,0
0.40120047330856323,1.0568478107452393,0.011085983365774155,-0.9504469037055969,3.14,3.14,0,0
0.4223374128341675,0.8615784645080566,-0.007922954857349396,-0.6543015837669373,3.12,3.12,0,0
0.43956899642944336,0.6665677428245544,-0.021008986979722977,-0.36412400007247925,3.1,3.1,0,0
0.45290035009384155,0.47175055742263794,-0.02829146757721901,-0.07813891768455505,3.08,3.08,0,0
